"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port2,Port2)) []","dB(S(Port1,Port2)) []"
0.1,-0.00118561048092951,-52.647584276883,-0.00085576532380186,-107.213642607877
0.107,-0.00154620353754868,-50.2377568703388,-0.00118636636976463,-104.318891007884
0.114,-0.0019733011607547,-48.0115433472928,-0.00161498412825584,-101.606823632888
0.121,-0.00247089826580639,-45.946355546282,-0.00216273022804572,-99.0526928159622
0.128,-0.00303854225804974,-44.0249383289853,-0.00285371974015477,-96.6329641879389
0.135,-0.00367665482032769,-42.2297089473343,-0.00371522511516809,-94.3322129235519
0.142,-0.00438577478114229,-40.5472187706742,-0.00477671654635122,-92.1421904418286
0.149,-0.00515503924900818,-38.9692085764774,-0.00606794891703842,-90.0614919972303
0.156,-0.00608721109095318,-37.3908312354336,-0.00763804291128461,-88.1302752872479
0.163,-0.00713925770461467,-35.8839652384089,-0.00952254695624143,-86.290309806562
0.17,-0.00830390872833849,-34.4566054212177,-0.0117645558192415,-84.5231345063783
0.177,-0.00958534407136218,-33.1026780382891,-0.0144116818906981,-82.8222021382956
0.184,-0.010987363571815,-31.8169128112655,-0.0175149451710068,-81.1817256629217
0.191,-0.0125133814327708,-30.5947317635925,-0.0211286864740391,-79.596561358794
0.198,-0.0141664319741203,-29.4321583929579,-0.0253104431802258,-78.0621113038844
0.205,-0.0159967660681731,-28.2669870449223,-0.0301294879847217,-76.5931414309312
0.212,-0.0179893229447154,-27.1296423885615,-0.0356465726292685,-75.1776691096319
0.219,-0.0201292049350797,-26.0403613765379,-0.0419243222505011,-73.8053778803663
0.226,-0.0224181955523591,-24.9964745750451,-0.0490303194262132,-72.4733142521067
0.233,-0.0248575745280796,-23.9955997089958,-0.0570336462066973,-71.1787900305175
0.24,-0.027448172880469,-23.035608113983,-0.0660044340825667,-69.9193463678657
0.247,-0.0301904564506519,-22.1145959905582,-0.0760133913876467,-68.6927222799203
0.254,-0.0330357438407757,-21.2104649020664,-0.0870328060903408,-67.5406363731378
0.261,-0.0359787804338964,-20.3257033646653,-0.0991220992467769,-66.4514940087443
0.268,-0.0390496441652097,-19.4736767867815,-0.112412409465475,-65.3909439906037
0.275,-0.0422462889853371,-18.6528507041309,-0.126969810015073,-64.3572626347801
0.282,-0.0455668883222768,-17.8618220203707,-0.142859743051923,-63.3488444702358
0.289,-0.0490100118545759,-17.0993067347735,-0.160146789086722,-62.3641887172233
0.296,-0.0525748274088787,-16.3641292172377,-0.178894467857894,-61.4018871611087
0.303,-0.0563346757183907,-15.6324716779335,-0.199138824514364,-60.4669675801963
0.31,-0.0603167539968535,-14.895516927911,-0.22089117494366,-59.5623414416421
0.317,-0.0644223657992342,-14.1824772010587,-0.244216094318981,-58.6792277179589
0.324,-0.06864988050386,-13.4923838397482,-0.269152768328172,-57.816572415519
0.331,-0.0729986665691416,-12.8243256829417,-0.295736408988726,-56.9733745565406
0.338,-0.0774693444488281,-12.1774437823606,-0.323998218553505,-56.1486805744247
0.345,-0.082064058706137,-11.5509267359876,-0.353965422410417,-55.3415792972068
0.352,-0.0867142627496909,-10.9439572119308,-0.385642357318855,-54.5517305421134
0.359,-0.0912930647870731,-10.3554239576468,-0.419023018861924,-53.778896491258
0.366,-0.095974024658155,-9.78457793584693,-0.454174718225036,-53.020822953273
0.373,-0.100764462893804,-9.23074989078629,-0.491113103963613,-52.27672583728
0.38,-0.105674412195874,-8.69330242771138,-0.529850981229748,-51.5458462297055
0.387,-0.110716982548685,-8.17162765862136,-0.570398672237083,-50.8274475087117
0.394,-0.115908764101657,-7.66514514934703,-0.612764441696586,-50.1208127061079
0.401,-0.12126358741861,-7.16884854391672,-0.656846323750177,-49.4306395809013
0.408,-0.126744126633471,-6.65986560806572,-0.702023160525597,-48.7843845998859
0.415,-0.132390677532266,-6.1642988297339,-0.748880230526881,-48.1499054432576
0.422,-0.138225738632586,-5.68161099469517,-0.797409377128796,-47.5266172281041
0.429,-0.144275708081488,-5.21128569652357,-0.847602529660322,-46.9139538286125
0.436,-0.150571242539072,-4.75282637298276,-0.899452314269515,-46.3113667926544
0.443,-0.157147655178919,-4.30575546592435,-0.952952700619966,-45.7183243730044
0.45,-0.164045360604573,-3.86961369645026,-1.00809968652278,-45.1343106641482
0.457,-0.171018005994955,-3.44130143929694,-1.06478475423706,-44.5562861162583
0.464,-0.178369151989246,-3.02277525178861,-1.12310522026492,-43.9861054143524
0.471,-0.186153606216752,-2.61361549966757,-1.18306575228895,-43.4232873065346
0.478,-0.194433330476485,-2.21341773432346,-1.24467589986957,-42.8673628322901
0.485,-0.203278255829083,-1.82179233472149,-1.30795102490502,-42.3178747795032
0.492,-0.212767223802815,-1.43836425024355,-1.37291331641396,-41.7743772273901
0.499,-0.222989075990074,-1.06277285133322,-1.43959290461601,-41.2364351807529
0.506,-0.233208485424162,-0.675170773887894,-1.50702329620556,-40.7335585566545
0.513,-0.244037244354225,-0.291244299142444,-1.57593792099563,-40.2413804603426
0.52,-0.255690785529468,0.08609872405834,-1.64653180366514,-39.7546346552076
0.527,-0.268268745591674,0.457169739626979,-1.71885271367351,-39.272982417819
0.534,-0.28188175038609,0.82226690628573,-1.792959087689,-38.7960973369002
0.541,-0.296652706803775,1.1816750036381,-1.86892134364728,-38.3236653603905
0.548,-0.312718281431546,1.53566521967382,-1.9468233455026,-37.8553849582177
0.555,-0.330230594131646,1.88449480544291,-2.02676404257059,-37.3909674148345
0.562,-0.3493591590613,2.22840657994602,-2.10885931080779,-36.9301372682401
0.569,-0.370293110743709,2.56762826527476,-2.19324402725578,-36.472632915206
0.576,-0.393243758721568,2.90237162866583,-2.28007441322964,-36.0182074057664
0.583,-0.41844752117791,3.23283140438507,-2.36953068667307,-35.5666294537617
0.59,-0.446169295821353,3.55918396422274,-2.4618200694359,-35.1176846943279
0.597,-0.476706335436627,3.88158570087471,-2.55718020102138,-34.671177223702
0.604,-0.508930381619201,4.2059094313631,-2.65378842684274,-34.2365492407922
0.611,-0.543146224613159,4.53085297695393,-2.75207881001983,-33.8118115310554
0.618,-0.580670058994206,4.85222787633756,-2.85380759546921,-33.3897750963231
0.625,-0.621865194645539,5.17012382965946,-2.95929762943199,-32.9703320295578
0.632,-0.667136957683793,5.48460517504519,-3.06891332830698,-32.553399221816
0.639,-0.716938039371581,5.79570846278254,-3.1830655781405,-32.1389207644461
0.646,-0.771774552092501,6.10343968979631,-3.30221723596132,-31.7268706897438
0.653,-0.832212881033988,6.4077711714305,-3.4268892955357,-31.3172560729717
0.66,-0.898887429349598,6.70863803207277,-3.55766778124168,-30.9101205141203
0.667,-0.9725093641356,7.00593430355552,-3.69521143267544,-30.505548010385
0.674,-1.05387648057581,7.2995086314543,-3.84026023834237,-30.103667219137
0.681,-1.14388431222699,7.58915960546017,-3.99364486810585,-29.7046560951047
0.688,-1.24353862702619,7.87463075215918,-4.15629703938263,-29.3087468633153
0.695,-1.35396946203874,8.15560525814911,-4.32926082937869,-28.9162312597419
0.702,-1.4748385280122,8.43442652997189,-4.51124457774497,-28.5305018962302
0.709,-1.60421419887359,8.71490908703151,-4.69898682423358,-28.1567196293788
0.716,-1.74697554271101,8.98988863646622,-4.89944887599978,-27.7878283135708
0.723,-1.9045946934539,9.25887671756585,-5.11402001277247,-27.4243048230974
0.73,-2.0787089527609,9.52132121774334,-5.3442386299385,-27.0666893819481
0.737,-2.27113907922431,9.77660544624954,-5.5918056333439,-26.7155864792577
0.744,-2.48390983410834,10.0240485333391,-5.85859849052057,-26.3716644588147
0.751,-2.71927335084643,10.2629075108014,-6.14668588965039,-26.0356534266911
0.758,-2.97973616397932,10.4923814443854,-6.45834295334405,-25.7083411064348
0.765,-3.26809112725325,10.7116179784201,-6.79606693812693,-25.3905662814935
0.772,-3.5874560198569,10.9197226086458,-7.16259329375862,-25.0832095088243
0.779,-3.94132145092559,11.1157709122004,-7.56091179785708,-24.7871808747071
0.786,-4.33361181497568,11.2988238274719,-7.99428209777416,-24.503404700018
0.793,-4.76876464486526,11.467945889279,-8.46624714523729,-24.2328012894589
0.8,-5.25183591348622,11.622226091804,-8.98064124734892,-23.9762660522782
0.807,-5.76597799047217,11.7736959704433,-9.54384715719097,-23.7394088353627
0.814,-6.33575617453601,11.9099318350812,-10.1589561458139,-23.5172741487634
0.821,-6.96822770435803,12.0303251212304,-10.8312416680402,-23.3104617086231
0.828,-7.67181416444114,12.1343705588558,-11.5663676280818,-23.1194677260753
0.835,-8.45673279005531,12.2216830046109,-12.3702054284848,-22.9446680681203
0.842,-9.33558676891136,12.2920110985392,-13.2483639741143,-22.7863045937551
0.849,-10.3241533321395,12.3452468607057,-14.2051146985069,-22.6444755498755
0.856,-11.4423632596383,12.3814305808531,-15.2410719283039,-22.5191306738429
0.863,-12.7152577666914,12.4007506655701,-16.3484056715353,-22.4100713382125
0.87,-14.1729153206876,12.4035384583157,-17.5015525078487,-22.3169557222607
0.877,-15.8454265280857,12.3902583967065,-18.6413484045868,-22.2393086458894
0.884,-17.7385149537403,12.3614941777929,-19.6556312254191,-22.1765353951605
0.891,-19.7426337319675,12.3179318322175,-20.3782109374858,-22.127938638549
0.898,-21.3937665347828,12.2603407416171,-20.6489829985178,-22.0927373995314
0.905,-21.8696144028964,12.2056607064683,-20.4876366369903,-22.0665193817761
0.912,-20.9564656225953,12.1463031480851,-19.9846640750832,-22.0495911282622
0.919,-19.3381926674923,12.0768173833634,-19.2628401368355,-22.0424236565449
0.926,-17.6505158295687,11.9979888443921,-18.4496605668638,-22.0442258668954
0.933,-16.1232429856363,11.910595432943,-17.6281326379818,-22.0542140759065
0.94,-14.7936035233425,11.8153975025258,-16.8422482297059,-22.0716220312305
0.947,-13.6434662758372,11.7131296254584,-16.111321341862,-22.0957091411883
0.954,-12.6447653520983,11.6044941193707,-15.4412614343933,-22.125766944828
0.961,-11.7716020886629,11.4901562330778,-14.8313539052803,-22.1611239224926
0.968,-11.0025798987802,11.3707408399535,-14.2779129243764,-22.2011487987601
0.975,-10.3205528142735,11.2468304557644,-13.7761415814288,-22.2452525207888
0.982,-9.71184333228634,11.1189643841381,-13.3210399194869,-22.2928891088924
0.989,-9.16548368147619,10.9876387926655,-12.9078241964754,-22.343555576333
0.996,-8.67260039231604,10.8533075323612,-12.5321001486065,-22.3967911056085
1.003,-8.23346736237022,10.7211549689895,-12.1967434525297,-22.4525454230935
1.01,-7.84296803775046,10.5934372492451,-11.8989225069728,-22.5103640240162
1.017,-7.48571856109063,10.4642230603628,-11.626050521286,-22.5693563216951
1.024,-7.15782918485367,10.333788296779,-11.3756603402601,-22.6292418698945
1.031,-6.85599437165296,10.2023790032855,-11.145560578816,-22.6897699862967
1.038,-6.57738494968575,10.0702137234973,-10.9338049733635,-22.7507174017965
1.045,-6.31956374798489,9.93748578617474,-10.7386636817186,-22.8118859718699
1.052,-6.08041891430698,9.80436549940024,-10.5585972792979,-22.8731004800103
1.059,-5.85811068704379,9.67100223206713,-10.3922336350053,-22.9342065537761
1.066,-5.65102850932252,9.53752636973931,-10.2383475697483,-22.9950687063839
1.073,-5.45775617326105,9.40405113794058,-10.0958430730364,-23.0555685107883
1.08,-5.27704325961816,9.27067429055507,-9.96373780693213,-23.1156029085605
1.087,-5.10778155841044,9.13747966449708,-9.84114962234864,-23.1750826524068
1.094,-4.94898546496108,9.00453860434492,-9.72728482878376,-23.2339308786262
1.101,-4.79964094782221,8.87364872547735,-9.62026247715209,-23.2912098824748
1.108,-4.6582708038364,8.75354602944662,-9.51374232095993,-23.3425846106896
1.115,-4.5249733170996,8.63385201823344,-9.41423248719222,-23.3932953472801
1.122,-4.39912426880844,8.51460846596374,-9.32120123245757,-23.4432967050607
1.129,-4.28015939922293,8.3958499120919,-9.23416425461578,-23.4925504714324
1.136,-4.16756752888315,8.27760443366686,-9.15267986185322,-23.5410248346568
1.143,-4.06088460146006,8.15989434338917,-9.07634468242314,-23.5886936842951
1.15,-3.95968850628614,8.04273681946473,-9.00478985174538,-23.6355359798064
1.157,-3.86359456338522,7.92614447301625,-8.93767762060095,-23.6815351815416
1.164,-3.77225157377007,7.81012585851322,-8.87469833468843,-23.7266787386702
1.171,-3.68533835393394,7.69468593234979,-8.81556774173945,-23.7709576289098
1.178,-3.60256068661984,7.57982646435065,-8.76002458770182,-23.8143659452759
1.185,-3.52364863072232,7.46554640663218,-8.70782846821058,-23.8569005254217
1.192,-3.44835414203858,7.351842223898,-8.65875790572106,-23.8985606194892
1.199,-3.3764489639123,7.23870818891016,-8.61260862632389,-23.9393475927258
1.206,-3.31284479254896,7.1357436260731,-8.57263269393993,-23.9764517144731
1.213,-3.25276663269874,7.03501455571907,-8.53545797780401,-24.0122277374911
1.22,-3.19518084657997,6.934913580732,-8.5003475519862,-24.0471544012356
1.227,-3.1399440511941,6.83542727034935,-8.46717444121465,-24.0812421597414
1.234,-3.0869231704539,6.73654146941158,-8.43582068698134,-24.1145021454949
1.241,-3.03599455341194,6.63824141191303,-8.40617660738973,-24.1469460548355
1.248,-2.9870431796098,6.54051182147871,-8.37814012578196,-24.1785860464019
1.255,-2.93996194179542,6.44333700015058,-8.35161616106663,-24.2094346512393
1.262,-2.89465099747714,6.34670090672378,-8.32651607345913,-24.2395046933259
1.269,-2.85101718183488,6.25058722574352,-8.30275716004343,-24.2688092194061
1.276,-2.80897347541656,6.15497942815762,-8.28026219517907,-24.2973614371352
1.283,-2.76843852083458,6.05986082451495,-8.25895901131909,-24.3251746606445
1.29,-2.72933618335846,5.96521461150667,-8.23878011628369,-24.3522622627269
1.297,-2.69159515089357,5.87102391256282,-8.21966234345771,-24.3786376329318
1.304,-2.65417488874015,5.7842254203137,-8.19963315064541,-24.3992222535515
1.311,-2.61726902352215,5.70309215963302,-8.17908290785233,-24.415384767801
1.318,-2.58155286632366,5.62240359282225,-8.15938924512758,-24.4309772315073
1.325,-2.54697145016012,5.54214726937351,-8.14050709148416,-24.4460098985458
1.332,-2.51347299297944,5.46231072809243,-8.12239402860427,-24.4604930104755
1.339,-2.48100867744833,5.3828815186367,-8.10501011314029,-24.474436774468
1.346,-2.44953244830583,5.30384722032916,-8.08831771240344,-24.4878513439486
1.353,-2.41900082570275,5.22519545852369,-8.07228135232922,-24.500746801675
1.36,-2.3893727331038,5.14691391877387,-8.05686757670805,-24.5131331449986
1.367,-2.36060933846994,5.06899035903038,-8.04204481675937,-24.5250202730864
1.374,-2.33267390756387,4.9914126200694,-8.02778327020877,-24.5364179758975
1.381,-2.30553166833382,4.91416863433515,-8.01405478910256,-24.5473359247327
1.388,-2.27914968543076,4.83724643336076,-8.00083277565976,-24.5577836641919
1.395,-2.25349674400352,4.76063415391547,-7.98809208552378,-24.5677706053904
1.402,-2.22869495307885,4.6854834808112,-7.97519382089037,-24.5775108819439
1.409,-2.20492857198771,4.61352446195449,-7.96124656598075,-24.5873307121361
1.416,-2.1817842436989,4.54183573900399,-7.94779484650856,-24.5967320068467
1.423,-2.1592379330856,4.47040680368771,-7.93481615330728,-24.6057231359065
1.43,-2.13726677839172,4.39922726187116,-7.92228911927394,-24.6143123291287
1.437,-2.1158490225958,4.32828683483939,-7.91019345296711,-24.6225076744756
1.444,-2.09496394941889,4.25757536002158,-7.89850987659307,-24.6303171167703
1.451,-2.07459182362142,4.18708279121859,-7.88722006805644,-24.6377484568919
1.458,-2.05471383526445,4.11679919838748,-7.87630660677799,-24.6448093513999
1.465,-2.03531204763768,4.04671476703195,-7.8657529230055,-24.651507312539
1.472,-2.01636934858162,3.9768197972424,-7.85554325036619,-24.6578497085796
1.479,-1.99786940495372,3.90710470242531,-7.84566258142871,-24.6638437644538
1.486,-1.9797966200088,3.83756000775732,-7.836096626061,-24.6694965626519
1.493,-1.96213609348287,3.76817634839595,-7.82683177238716,-24.6748150443459
1.5,-1.94487358418606,3.6989444674757,-7.81785505016159,-24.6798060107115
